/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 10 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 100 	 MUTACAO   : 0.50
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 4: 
(sqrt(0.82885)) | Numero de nos: 2 | Erro: 434176364904448.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(sqrt(/(x1)(-(sqrt(cos(0.47206)))(cos(sin(-(-(-(x1)(cos(sqrt(x1))))(x1))(0.43922))))))))) | Numero de nos: 22 | Erro: 434173881876480.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(sqrt(/(x1)(-(sqrt(+(sin(x1))(-(sqrt(-(x1)(x1)))(0.93579))))(cos(sin(-(-(-(x1)(cos(sqrt(x1))))(x1))(sin(x1)))))))))) | Numero de nos: 30 | Erro: 434171465957376.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(sqrt(/(x1)(-(sqrt(+(sin(x1))(-(sqrt(-(x1)(x1)))(0.93579))))(cos(sin(-(-(-(x1)(cos(sqrt(x1))))(x1))(sin(0.22538)))))))))) | Numero de nos: 30 | Erro: 434173915430912.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(sqrt(/(x1)(-(sqrt(+(sin(x1))(-(sqrt(-(x1)(x1)))(0.93579))))(cos(sin(-(-(-(x1)(cos(sqrt(x1))))(x1))(sin(0.22538)))))))))) | Numero de nos: 30 | Erro: 434173915430912.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(sqrt(/(x1)(-(sqrt(+(sin(x1))(-(sqrt(-(x1)(x1)))(x1))))(cos(/(0.97369)(+(sqrt(/(*(0.83984)(sin(0.84027)))(0.49345)))(0.71239))))))))) | Numero de nos: 30 | Erro: 434173210787840.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(sin(/(*(+(+(+(sqrt(x1))(-(sqrt(x1))(+(sqrt(cos(0.13965)))(-(cos(x1))(x1)))))(0.28010))(0.06903))(x1))(sin(0.72195))))(x1)))) | Numero de nos: 30 | Erro: 434171365294080.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(*(sqrt(sin(cos(cos(sin(*(x1)(x1)))))))(x1))))(0.51118))(x1))(0.89117)))(0.71563))(x1)))) | Numero de nos: 30 | Erro: 434138414841856.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(*(sqrt(sin(sqrt(/(cos(x1))(x1)))))(x1))))(0.51118))(x1))(0.89117)))(0.71563))(x1)))) | Numero de nos: 29 | Erro: 434138179960832.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(*(sqrt(sin(cos(cos(sin(*(x1)(x1)))))))(0.71563))))(0.51118))(x1))(0.89117)))(0.71563))(x1)))) | Numero de nos: 30 | Erro: 434127509651456.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(*(sqrt(sin(cos(cos(sin(*(x1)(x1)))))))(0.71563))))(0.51118))(x1))(0.89117)))(0.71563))(x1)))) | Numero de nos: 30 | Erro: 434127509651456.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(*(sqrt(sin(sqrt(/(cos(x1))(sqrt(x1))))))(0.71563))))(0.51118))(x1))(0.89117)))(0.71563))(x1)))) | Numero de nos: 30 | Erro: 434127106998272.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(*(sqrt(sin(sqrt(/(cos(x1))(sqrt(x1))))))(0.71563))))(0.51118))(x1))(0.03244)))(0.71563))(x1)))) | Numero de nos: 30 | Erro: 434126905671680.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(*(sqrt(sin(sqrt(/(cos(x1))(sqrt(x1))))))(0.71563))))(0.51118))(x1))(0.03244)))(0.19861))(x1)))) | Numero de nos: 30 | Erro: 434126905671680.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(cos(-(+(-(+(x1)(0.54402))(x1))(0.74947))(x1)))))(0.71563))(x1))(0.03244)))(0.71563))(x1)))) | Numero de nos: 30 | Erro: 434118584172544.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(cos(-(+(-(+(x1)(0.54402))(x1))(0.74947))(x1)))))(0.71563))(x1))(0.03244)))(0.71563))(x1)))) | Numero de nos: 30 | Erro: 434118584172544.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(cos(-(+(-(+(0.56783)(0.54402))(x1))(0.74947))(x1)))))(0.71563))(x1))(0.03244)))(0.71563))(x1)))) | Numero de nos: 30 | Erro: 434114087878656.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(+(/(cos(x1))(0.13083))(+(*(+(sin(-(x1)(x1)))(x1))(0.74929))(x1)))(x1))(0.03244)))(0.71563))(x1)))) | Numero de nos: 29 | Erro: 434113584562176.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(*(+(sin(sin(+(+(-(-(*(cos(x1))(0.55531))(x1))(x1))(0.64235))(0.86480))))(x1))(x1))(0.89117)))(0.23081))(x1)))) | Numero de nos: 30 | Erro: 433963931795456.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(*(+(sin(sin(+(+(-(-(*(cos(x1))(x1))(x1))(x1))(0.64235))(0.86480))))(x1))(x1))(0.89117)))(0.23081))(x1)))) | Numero de nos: 30 | Erro: 433963462033408.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(cos(-(+(-(+(x1)(0.70943))(x1))(0.74947))(x1)))))(0.74947))(x1))(0.03244)))(0.71563))(x1)))) | Numero de nos: 30 | Erro: 434119456587776.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(cos(-(+(-(+(0.74947)(0.54402))(0.88174))(x1))(0.88174)))))(0.71563))(x1))(x1)))(0.71563))(x1)))) | Numero de nos: 30 | Erro: 434130495995904.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(cos(-(+(-(+(0.74947)(0.43092))(0.88174))(x1))(0.15583)))))(0.71563))(x1))(x1)))(0.71563))(x1)))) | Numero de nos: 30 | Erro: 434136837783552.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(cos(-(+(-(+(0.74947)(0.43092))(0.88174))(x1))(0.15583)))))(0.71563))(x1))(x1)))(0.71563))(0.50005)))) | Numero de nos: 30 | Erro: 434137173327872.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(cos(-(+(-(+(0.74947)(0.43092))(0.88174))(x1))(0.15583)))))(0.71563))(x1))(x1)))(0.71563))(0.50005)))) | Numero de nos: 30 | Erro: 434137173327872.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(cos(-(+(*(+(0.32429)(0.31455))(x1))(x1))(x1)))))(0.71563))(x1))(x1)))(0.71563))(0.50005)))) | Numero de nos: 30 | Erro: 434113249017856.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(sqrt(*(-(0.18455)(/(x1)(cos(x1))))(0.79253)))))(0.71563))(x1))(x1)))(0.71563))(0.50005)))) | Numero de nos: 29 | Erro: 434157373095936.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(cos(-(+(+(+(x1)(x1))(0.70641))(x1))(0.88174)))))(0.71563))(x1))(x1)))(0.71563))(x1)))) | Numero de nos: 30 | Erro: 434123013357568.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(cos(-(+(+(+(x1)(x1))(0.70641))(x1))(0.88174)))))(0.71563))(x1))(x1)))(x1))(x1)))) | Numero de nos: 30 | Erro: 434123214684160.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(cos(-(+(sqrt(x1))(x1))(0.88174)))))(0.71563))(x1))(x1)))(0.71563))(x1)))) | Numero de nos: 27 | Erro: 434114725412864.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(cos(-(+(sqrt(x1))(x1))(0.88174)))))(0.71563))(x1))(x1)))(0.71563))(x1)))) | Numero de nos: 27 | Erro: 434114725412864.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(cos(-(+(+(+(0.38487)(x1))(0.70641))(x1))(0.88174)))))(0.71563))(x1))(x1)))(x1))(x1)))) | Numero de nos: 30 | Erro: 434125529939968.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(cos(-(+(sqrt(x1))(x1))(0.88174)))))(x1))(sqrt(x1)))(x1)))(0.71563))(x1)))) | Numero de nos: 28 | Erro: 434139085930496.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(cos(-(+(*(*(0.37715)(0.82800))(x1))(x1))(0.88174)))))(0.71563))(x1))(x1)))(x1))(x1)))) | Numero de nos: 30 | Erro: 434123181129728.0000000000000000000000000 |
MELHOR: (*(sqrt(x1))(sqrt(+(-(*(x1)(-(+(-(/(x1)(+(0.89886)(cos(-(+(*(*(0.37715)(0.82800))(x1))(x1))(0.88174)))))(0.71563))(x1))(x1)))(x1))(x1)))) | Numero de nos: 30 | Erro: 434123181129728.0000000000000000000000000 |
MELHOR: (*(sqrt(+(x1)(x1)))(sqrt(+(-(*(*(*(-(-(*(sqrt(*(x1)(+(x1)(x1))))(x1))(x1))(0.41514))(0.66118))(x1))(*(0.43342)(x1)))(0.71563))(x1)))) | Numero de nos: 30 | Erro: 432930656616448.0000000000000000000000000 |
MELHOR: (*(sqrt(+(x1)(x1)))(sqrt(+(-(*(*(*(-(-(*(sqrt(*(x1)(+(x1)(x1))))(x1))(x1))(0.41514))(0.66118))(x1))(*(x1)(x1)))(0.71563))(x1)))) | Numero de nos: 30 | Erro: 420384822263808.0000000000000000000000000 |
MELHOR: (*(sqrt(+(x1)(x1)))(sqrt(+(-(*(*(*(-(-(*(sqrt(*(x1)(+(x1)(x1))))(x1))(x1))(0.41514))(0.66118))(x1))(*(x1)(x1)))(0.71563))(x1)))) | Numero de nos: 30 | Erro: 420384822263808.0000000000000000000000000 |
MELHOR: (*(sqrt(+(x1)(x1)))(sqrt(+(-(*(*(*(-(-(*(sqrt(*(x1)(+(x1)(x1))))(x1))(0.62578))(0.41514))(0.66118))(x1))(*(x1)(x1)))(0.71563))(x1)))) | Numero de nos: 30 | Erro: 420273958420480.0000000000000000000000000 |
MELHOR: (*(sqrt(+(x1)(x1)))(sqrt(+(-(*(*(*(-(-(*(sqrt(*(x1)(+(x1)(x1))))(x1))(x1))(0.41514))(x1))(x1))(x1))(0.71563))(x1)))) | Numero de nos: 28 | Erro: 417270098558976.0000000000000000000000000 |
MELHOR: (*(sqrt(+(x1)(x1)))(sqrt(+(-(*(*(*(-(-(*(sqrt(*(x1)(+(x1)(x1))))(x1))(x1))(0.41514))(x1))(x1))(*(x1)(x1)))(0.71563))(x1)))) | Numero de nos: 30 | Erro: 344946540281856.0000000000000000000000000 |
MELHOR: (*(sqrt(+(x1)(x1)))(sqrt(+(-(*(*(*(-(-(*(sqrt(*(x1)(+(x1)(x1))))(x1))(x1))(0.41514))(x1))(x1))(*(x1)(x1)))(0.71563))(x1)))) | Numero de nos: 30 | Erro: 344946540281856.0000000000000000000000000 |
MELHOR: (*(sqrt(*(x1)(x1)))(sqrt(+(-(*(*(*(-(-(*(sqrt(*(x1)(+(x1)(x1))))(x1))(x1))(0.41514))(0.66118))(x1))(*(x1)(x1)))(0.71563))(x1)))) | Numero de nos: 30 | Erro: 318378812112896.0000000000000000000000000 |
MELHOR: (*(sqrt(*(x1)(x1)))(sqrt(+(-(*(*(*(-(-(*(sqrt(*(x1)(+(x1)(x1))))(x1))(x1))(0.41514))(0.66118))(x1))(*(x1)(x1)))(0.71563))(x1)))) | Numero de nos: 30 | Erro: 318378812112896.0000000000000000000000000 |
MELHOR: (*(sqrt(*(x1)(x1)))(sqrt(+(-(*(*(*(-(-(*(sqrt(*(x1)(+(x1)(x1))))(x1))(x1))(0.41514))(0.66118))(x1))(*(x1)(x1)))(0.71563))(x1)))) | Numero de nos: 30 | Erro: 318378812112896.0000000000000000000000000 |
MELHOR: (*(sqrt(*(x1)(x1)))(sqrt(+(-(*(*(*(-(-(*(sqrt(*(x1)(+(x1)(x1))))(x1))(x1))(0.41514))(0.66118))(x1))(*(x1)(x1)))(0.71563))(0.52931)))) | Numero de nos: 30 | Erro: 318378845667328.0000000000000000000000000 |
MELHOR: (*(sqrt(+(x1)(0.10892)))(sqrt(+(-(*(*(*(-(-(*(sqrt(*(x1)(+(x1)(x1))))(x1))(x1))(0.41514))(x1))(x1))(*(x1)(x1)))(x1))(x1)))) | Numero de nos: 30 | Erro: 368414107369472.0000000000000000000000000 |
MELHOR: (*(sqrt(+(x1)(0.10892)))(sqrt(+(-(*(*(*(-(-(*(sqrt(*(x1)(+(x1)(x1))))(x1))(x1))(0.41514))(x1))(x1))(*(x1)(x1)))(x1))(x1)))) | Numero de nos: 30 | Erro: 368414107369472.0000000000000000000000000 |
MELHOR: (*(sqrt(+(x1)(x1)))(sqrt(+(-(*(*(*(-(-(*(sqrt(*(x1)(+(x1)(x1))))(0.85470))(0.66118))(0.41514))(x1))(x1))(*(x1)(x1)))(x1))(x1)))) | Numero de nos: 30 | Erro: 418558219649024.0000000000000000000000000 |
