/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 10 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 100 	 MUTACAO   : 0.40
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 3: 
MELHOR: (*(-(+(*(-(+(sqrt(cos(0.82339)))(+(x1)(x1)))(*(cos(-(*(0.03974)(0.25318))(x1)))(0.82339)))(x1))(0.74648))(cos(-(*(0.03974)(0.25318))(x1))))(sqrt(x1))) | Numero de nos: 30 | Erro: 430898465996800.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(sqrt(cos(0.82339)))(+(x1)(x1)))(*(cos(-(*(0.03974)(0.25318))(x1)))(0.82339)))(x1))(0.74648))(cos(-(*(0.03974)(0.25318))(x1))))(sqrt(x1))) | Numero de nos: 30 | Erro: 430898465996800.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(sqrt(cos(0.82339)))(+(x1)(x1)))(*(cos(-(*(0.03974)(0.25318))(x1)))(0.82339)))(x1))(0.74648))(cos(-(*(0.03974)(0.25318))(x1))))(sqrt(x1))) | Numero de nos: 30 | Erro: 430898465996800.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(sqrt(cos(0.82339)))(+(x1)(x1)))(*(cos(-(0.98825)(x1)))(0.82339)))(x1))(0.74648))(cos(-(*(0.03974)(0.25318))(x1))))(sqrt(x1))) | Numero de nos: 28 | Erro: 430896821829632.0000000000000000000000000 |
MELHOR: (*(-(+(*(x1)(x1))(0.74648))(cos(-(*(/(cos(sin(/(+(*(sin(0.99637))(x1))(cos(x1)))(0.80358))))(0.93322))(0.25318))(x1))))(+(*(x1)(x1))(0.74648))) | Numero de nos: 30 | Erro: 223365578752.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(-(0.68117)(x1))(+(x1)(x1)))(*(sin(sqrt(sin(-(0.68117)(0.68117)))))(x1)))(x1))(0.74648))(cos(/(sqrt(sin(0.07736)))(x1))))(sqrt(x1))) | Numero de nos: 30 | Erro: 432529412718592.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(-(0.68117)(x1))(+(x1)(x1)))(*(sin(sqrt(sin(-(0.68117)(0.03549)))))(x1)))(x1))(0.74648))(cos(/(sqrt(sin(x1)))(x1))))(sqrt(x1))) | Numero de nos: 30 | Erro: 433669424545792.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(-(0.26765)(x1))(+(x1)(x1)))(*(sin(sqrt(sin(-(0.68117)(0.03549)))))(x1)))(x1))(x1))(cos(/(sqrt(sin(0.07736)))(x1))))(sqrt(x1))) | Numero de nos: 30 | Erro: 433654157279232.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(-(0.03549)(x1))(+(x1)(x1)))(*(sin(sqrt(sin(-(0.68117)(0.03549)))))(x1)))(x1))(x1))(cos(/(sqrt(sin(0.07736)))(x1))))(sqrt(x1))) | Numero de nos: 30 | Erro: 433660465512448.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(-(0.03549)(x1))(+(x1)(x1)))(0.74648))(x1))(x1))(cos(/(sqrt(sin(0.07736)))(x1))))(sqrt(x1))) | Numero de nos: 23 | Erro: 432540821225472.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(-(0.03549)(x1))(+(x1)(x1)))(0.74648))(x1))(x1))(cos(/(sqrt(sin(0.07736)))(x1))))(sqrt(x1))) | Numero de nos: 23 | Erro: 432540821225472.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(sqrt(sin(-(0.68117)(x1))))(+(x1)(x1)))(0.74648))(x1))(x1))(cos(/(sqrt(sin(0.07736)))(x1))))(sqrt(x1))) | Numero de nos: 25 | Erro: 430894573682688.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(-(0.26765)(x1))(+(x1)(x1)))(*(sin(sqrt(x1)))(x1)))(x1))(0.74648))(cos(/(sqrt(sin(0.07736)))(sin(-(0.80489)(x1))))))(x1)) | Numero de nos: 29 | Erro: 429510386253824.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(/(x1)(0.72781))(+(x1)(x1)))(*(sin(/(sqrt(sin(x1)))(0.03549)))(x1)))(x1))(0.74648))(cos(/(sqrt(sin(x1)))(0.03549))))(sqrt(x1))) | Numero de nos: 30 | Erro: 428948651507712.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(/(x1)(0.72781))(+(x1)(x1)))(*(sin(/(sqrt(sin(x1)))(0.03549)))(x1)))(x1))(0.74648))(cos(/(sqrt(x1))(0.03549))))(sqrt(x1))) | Numero de nos: 29 | Erro: 428949121269760.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(/(x1)(0.72781))(+(x1)(x1)))(*(sin(/(sqrt(sin(x1)))(0.03549)))(x1)))(x1))(0.74648))(cos(/(sqrt(x1))(0.03549))))(sqrt(x1))) | Numero de nos: 29 | Erro: 428949121269760.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(x1)(x1))(0.74648))(x1))(cos(/(0.50563)(0.03549))))(cos(/(sqrt(sin(/(x1)(sin(0.11286)))))(x1))))(sqrt(x1))) | Numero de nos: 25 | Erro: 430945005993984.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(x1)(x1))(0.74648))(x1))(cos(/(0.50563)(/(0.84170)(0.03549)))))(cos(/(sqrt(sin(/(x1)(sin(0.11286)))))(x1))))(sqrt(x1))) | Numero de nos: 27 | Erro: 430944032915456.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(x1)(x1))(0.74648))(x1))(cos(/(0.07666)(/(0.84170)(0.03549)))))(cos(/(sqrt(sin(/(x1)(sin(0.11286)))))(x1))))(sqrt(x1))) | Numero de nos: 27 | Erro: 430944032915456.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(x1)(+(x1)(x1)))(*(sin(-(0.03549)(x1)))(x1)))(x1))(0.74648))(cos(/(+(-(0.26765)(x1))(x1))(0.50563))))(sqrt(x1))) | Numero de nos: 28 | Erro: 429443747151872.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(-(x1)(x1))(+(x1)(x1)))(0.74648))(x1))(x1))(cos(sin(cos(*(+(-(x1)(0.73687))(0.03549))(0.32414))))))(sqrt(+(x1)(cos(x1))))) | Numero de nos: 30 | Erro: 430920611921920.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(-(x1)(0.74648))(+(x1)(x1)))(0.74648))(x1))(x1))(cos(sin(cos(*(+(-(x1)(0.73687))(0.11856))(0.32414))))))(sqrt(+(x1)(cos(x1))))) | Numero de nos: 30 | Erro: 429323186077696.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(-(x1)(0.74648))(+(x1)(x1)))(0.74648))(x1))(x1))(cos(sin(cos(*(+(-(x1)(0.73687))(0.11856))(0.32414))))))(sqrt(+(x1)(cos(x1))))) | Numero de nos: 30 | Erro: 429323186077696.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(cos(sin(x1)))(+(x1)(x1)))(0.74648))(x1))(x1))(cos(sin(cos(*(+(-(x1)(0.73687))(0.11856))(0.32414))))))(sqrt(+(x1)(cos(x1))))) | Numero de nos: 30 | Erro: 430900546371584.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(cos(sin(x1)))(+(x1)(x1)))(0.74648))(x1))(x1))(cos(sin(cos(*(+(x1)(0.11856))(0.32414))))))(sqrt(+(x1)(cos(cos(x1)))))) | Numero de nos: 29 | Erro: 430872327094272.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(cos(sin(x1)))(+(x1)(x1)))(0.74648))(x1))(sin(x1)))(cos(sin(cos(*(sin(x1))(0.32414))))))(sqrt(+(x1)(cos(cos(x1)))))) | Numero de nos: 29 | Erro: 430899506184192.0000000000000000000000000 |
MELHOR: (*(-(+(*(*(-(+(cos(sin(x1)))(+(x1)(x1)))(0.74648))(x1))(x1))(0.63253))(cos(/(sqrt(sin(/(0.74648)(0.01334))))(cos(sin(sqrt(x1)))))))(sqrt(x1))) | Numero de nos: 30 | Erro: 351312319348736.0000000000000000000000000 |
MELHOR: (*(-(+(*(*(-(+(cos(sin(x1)))(+(x1)(x1)))(0.74648))(x1))(x1))(0.63253))(*(x1)(cos(cos(/(/(cos(0.75228))(sqrt(x1)))(0.32664))))))(sqrt(x1))) | Numero de nos: 30 | Erro: 351320775065600.0000000000000000000000000 |
MELHOR: (*(-(+(0.74648)(x1))(cos(sin(cos(*(+(-(-(x1)(0.73687))(sin(x1)))(sin(+(sin(x1))(sin(sin(sin(x1)))))))(0.32414))))))(-(+(0.89843)(x1))(0.74648))) | Numero de nos: 30 | Erro: 433730191622144.0000000000000000000000000 |
MELHOR: (*(-(+(+(*(x1)(x1))(0.93768))(sin(x1)))(cos(sin(cos(/(sin(-(x1)(-(/(0.76574)(sqrt(0.72890)))(0.72747))))(x1))))))(sqrt(+(x1)(cos(cos(x1)))))) | Numero de nos: 30 | Erro: 432534882091008.0000000000000000000000000 |
MELHOR: (*(-(+(+(*(x1)(x1))(0.93768))(sin(x1)))(cos(sin(cos(/(sin(-(x1)(-(/(0.76574)(sqrt(0.72890)))(0.72747))))(x1))))))(sqrt(+(x1)(cos(cos(x1)))))) | Numero de nos: 30 | Erro: 432534882091008.0000000000000000000000000 |
MELHOR: (*(-(+(+(*(x1)(x1))(0.93768))(sin(x1)))(cos(sin(cos(/(sin(-(0.76574)(-(cos(+(0.29411)(0.00253)))(0.72747))))(x1))))))(sqrt(+(x1)(cos(cos(x1)))))) | Numero de nos: 30 | Erro: 432534882091008.0000000000000000000000000 |
MELHOR: (*(-(+(+(*(x1)(x1))(0.93768))(sin(x1)))(cos(sin(cos(/(sin(-(0.63137)(-(cos(+(0.29411)(x1)))(0.72747))))(x1))))))(sqrt(+(x1)(cos(cos(x1)))))) | Numero de nos: 30 | Erro: 432534882091008.0000000000000000000000000 |
