/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 10 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 100 	 MUTACAO   : 0.40
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 2: 
MELHOR: (-(+(/(x1)(cos(+(+(0.13385)(*(x1)(-(-(/(sin(-(*(-(cos(0.91839))(x1))(0.32966))(0.47478)))(cos(x1)))(0.80203))(sqrt(0.47478)))))(0.01602))))(0.27769))(0.27769)) | Numero de nos: 30 | Erro: 434157305987072.0000000000000000000000000 |
MELHOR: (-(+(/(x1)(cos(+(+(0.13385)(*(x1)(-(-(/(sin(-(*(-(cos(0.91839))(x1))(0.32966))(0.47478)))(cos(x1)))(0.80203))(sqrt(0.47478)))))(0.01602))))(x1))(0.27769)) | Numero de nos: 30 | Erro: 434157775749120.0000000000000000000000000 |
MELHOR: (sqrt(/(-(-(/(/(0.72600)(0.63683))(-(sqrt(x1))(sin(0.79888))))(cos(*(cos(/(+(cos(x1))(*(-(x1)(sin(0.47673)))(x1)))(0.79888)))(x1))))(x1))(0.27769))) | Numero de nos: 30 | Erro: 434174754291712.0000000000000000000000000 |
MELHOR: (sqrt(/(-(-(/(/(0.72600)(0.63683))(-(sqrt(x1))(sin(0.79888))))(cos(*(cos(/(+(cos(x1))(*(-(x1)(sin(0.47673)))(x1)))(0.79888)))(x1))))(x1))(0.27769))) | Numero de nos: 30 | Erro: 434174754291712.0000000000000000000000000 |
MELHOR: (sqrt(/(-(-(/(/(0.72600)(0.63683))(-(sqrt(x1))(sin(0.79888))))(cos(*(cos(/(+(cos(x1))(*(-(x1)(sin(0.26978)))(x1)))(0.79888)))(x1))))(x1))(0.27769))) | Numero de nos: 30 | Erro: 434174754291712.0000000000000000000000000 |
MELHOR: (sqrt(/(-(-(/(/(0.72600)(0.72600))(-(sqrt(x1))(sin(x1))))(cos(*(cos(/(+(cos(0.91839))(*(-(x1)(sin(0.47673)))(x1)))(0.79888)))(x1))))(x1))(0.27769))) | Numero de nos: 30 | Erro: 434174720737280.0000000000000000000000000 |
MELHOR: (sqrt(/(-(-(/(/(0.72600)(0.29032))(-(sqrt(x1))(sin(0.79888))))(cos(*(cos(/(+(cos(0.91839))(*(+(sqrt(0.95282))(x1))(x1)))(0.79888)))(x1))))(x1))(0.27769))) | Numero de nos: 30 | Erro: 434174687182848.0000000000000000000000000 |
MELHOR: (sqrt(/(-(-(/(/(0.72600)(0.29032))(-(sqrt(x1))(sin(0.79888))))(cos(*(cos(/(+(cos(x1))(*(+(0.48021)(0.86886))(0.76772)))(0.79888)))(x1))))(x1))(0.27769))) | Numero de nos: 29 | Erro: 434174687182848.0000000000000000000000000 |
MELHOR: (sqrt(/(-(-(/(/(0.72600)(0.72600))(-(0.76772)(sin(0.79888))))(cos(*(cos(/(sqrt(/(sin(+(x1)(0.74029)))(0.01248)))(cos(+(0.33647)(x1)))))(x1))))(x1))(0.27769))) | Numero de nos: 30 | Erro: 434174519410688.0000000000000000000000000 |
MELHOR: (sqrt(/(-(-(/(/(0.91839)(0.29032))(-(sqrt(x1))(sin(0.72600))))(cos(*(cos(/(+(cos(x1))(*(+(0.48021)(0.86886))(0.76772)))(0.79888)))(x1))))(x1))(0.27769))) | Numero de nos: 29 | Erro: 434174687182848.0000000000000000000000000 |
MELHOR: (sqrt(/(-(-(/(/(0.91839)(0.29032))(-(sqrt(x1))(sin(0.72600))))(cos(*(cos(/(+(cos(0.79888))(*(-(cos(0.31275))(x1))(0.76772)))(0.79888)))(x1))))(x1))(0.27769))) | Numero de nos: 30 | Erro: 434174687182848.0000000000000000000000000 |
MELHOR: (sqrt(/(-(-(/(/(0.91839)(0.29032))(-(sqrt(x1))(sin(x1))))(cos(+(0.53139)(sin(+(*(cos(+(sqrt(/(0.35636)(x1)))(0.29472)))(0.80935))(0.51112))))))(x1))(0.27769))) | Numero de nos: 30 | Erro: 434174519410688.0000000000000000000000000 |
MELHOR: (sqrt(/(-(-(/(/(0.91839)(0.29032))(-(sqrt(x1))(sin(x1))))(cos(+(0.53139)(sin(+(*(cos(+(sqrt(/(0.35636)(x1)))(0.29472)))(0.80935))(0.64174))))))(x1))(0.27769))) | Numero de nos: 30 | Erro: 434174519410688.0000000000000000000000000 |
MELHOR: (sqrt(/(-(-(/(/(0.72600)(0.72600))(-(sqrt(0.91839))(sin(x1))))(cos(*(cos(/(sqrt(-(0.24366)(sin(sin(+(sqrt(0.74755))(x1))))))(0.04172)))(x1))))(x1))(0.27769))) | Numero de nos: 30 | Erro: 434174620073984.0000000000000000000000000 |
MELHOR: (sqrt(/(-(-(/(/(0.72600)(0.72600))(-(sqrt(0.91839))(sin(x1))))(cos(*(cos(/(sqrt(-(0.24366)(sin(sin(+(sqrt(0.80019))(x1))))))(0.29032)))(x1))))(x1))(0.27769))) | Numero de nos: 30 | Erro: 434174586519552.0000000000000000000000000 |
MELHOR: (sqrt(/(-(-(/(x1)(-(sqrt(0.29032))(sin(0.72600))))(cos(+(0.53139)(sin(+(-(sqrt(sin(sqrt(sin(x1)))))(sqrt(/(x1)(cos(0.21586)))))(0.51112))))))(0.54854))(0.27769))) | Numero de nos: 30 | Erro: 434172069937152.0000000000000000000000000 |
MELHOR: (sqrt(/(-(-(/(/(x1)(0.07294))(-(sqrt(x1))(sin(0.72600))))(cos(+(0.53139)(sin(+(*(cos(+(sqrt(sqrt(0.29032)))(x1)))(0.80935))(0.51112))))))(0.51112))(0.27769))) | Numero de nos: 29 | Erro: 434174150311936.0000000000000000000000000 |
MELHOR: (sqrt(/(-(+(/(*(/(x1)(0.07294))(/(sqrt(x1))(cos(*(+(sqrt(+(-(x1)(0.43446))(x1)))(0.29472))(0.80935)))))(/(x1)(sin(0.94101))))(0.51353))(x1))(0.27769))) | Numero de nos: 30 | Erro: 434172539699200.0000000000000000000000000 |
MELHOR: (sqrt(/(-(+(/(*(/(x1)(0.07294))(/(sqrt(x1))(cos(*(+(sqrt(+(-(x1)(0.43446))(x1)))(0.29472))(0.80935)))))(/(x1)(sin(0.94101))))(0.51353))(x1))(0.27769))) | Numero de nos: 30 | Erro: 434172539699200.0000000000000000000000000 |
MELHOR: (sqrt(/(-(+(/(*(/(x1)(0.07294))(/(sqrt(x1))(cos(*(+(sqrt(+(-(x1)(0.07294))(x1)))(0.27769))(0.80935)))))(/(x1)(sin(0.94101))))(0.51353))(x1))(0.27769))) | Numero de nos: 30 | Erro: 434172539699200.0000000000000000000000000 |
MELHOR: (sqrt(/(-(+(/(*(/(x1)(0.07294))(/(sqrt(x1))(cos(*(+(sqrt(+(-(x1)(0.43446))(x1)))(0.29472))(0.80935)))))(/(x1)(sin(0.94101))))(0.51353))(x1))(0.27769))) | Numero de nos: 30 | Erro: 434172539699200.0000000000000000000000000 |
MELHOR: (sqrt(/(-(-(/(/(x1)(0.07294))(-(sqrt(x1))(sin(x1))))(*(x1)(sin(cos(sqrt(cos(/(sin(/(sin(x1))(x1)))(0.35343))))))))(x1))(/(0.94101)(x1)))) | Numero de nos: 30 | Erro: 434133381677056.0000000000000000000000000 |
MELHOR: (sqrt(/(-(+(/(*(/(x1)(0.07294))(/(sqrt(x1))(cos(*(0.06320)(0.80935)))))(/(0.29472)(x1)))(0.51353))(x1))(0.27769))) | Numero de nos: 22 | Erro: 433941081227264.0000000000000000000000000 |
MELHOR: (sqrt(/(-(+(/(*(/(x1)(0.07294))(/(sqrt(x1))(cos(*(0.06320)(0.80935)))))(/(0.29472)(x1)))(0.51353))(0.80935))(0.27769))) | Numero de nos: 22 | Erro: 433941114781696.0000000000000000000000000 |
MELHOR: (-(+(/(*(/(x1)(0.07294))(/(sqrt(x1))(cos(*(0.06320)(0.80935)))))(/(0.29472)(x1)))(0.51353))(0.80935)) | Numero de nos: 19 | Erro: 363644579741696.0000000000000000000000000 |
MELHOR: (sqrt(/(-(+(/(*(/(x1)(0.07294))(/(sqrt(x1))(cos(*(0.06320)(0.80935)))))(/(0.29472)(x1)))(0.22248))(0.80935))(0.27769))) | Numero de nos: 22 | Erro: 433941114781696.0000000000000000000000000 |
MELHOR: (sqrt(/(-(+(/(*(/(-(*(x1)(*(x1)(x1)))(x1))(0.07294))(/(sqrt(x1))(cos(x1))))(/(0.29472)(x1)))(0.51353))(x1))(-(*(x1)(0.62441))(x1)))) | Numero de nos: 30 | Erro: 433156477943808.0000000000000000000000000 |
MELHOR: (sqrt(/(-(+(/(*(/(-(*(x1)(*(x1)(x1)))(x1))(0.07294))(/(sqrt(x1))(cos(x1))))(/(0.29472)(x1)))(0.51353))(x1))(-(*(x1)(0.62441))(x1)))) | Numero de nos: 30 | Erro: 433156477943808.0000000000000000000000000 |
MELHOR: (sqrt(/(-(+(0.35780)(*(/(*(*(x1)(x1))(0.38618))(/(sqrt(*(0.35624)(sqrt(cos(0.39113)))))(-(0.07117)(x1))))(x1)))(x1))(/(sqrt(*(0.42393)(0.42180)))(x1)))) | Numero de nos: 30 | Erro: 432242253889536.0000000000000000000000000 |
MELHOR: (sqrt(/(-(+(/(*(/(-(*(x1)(*(x1)(x1)))(x1))(0.07294))(/(sqrt(x1))(0.07294)))(/(0.29472)(x1)))(0.51353))(x1))(-(*(x1)(0.62441))(x1)))) | Numero de nos: 29 | Erro: 432720102555648.0000000000000000000000000 |
MELHOR: (sqrt(/(-(/(*(/(-(*(x1)(*(x1)(x1)))(x1))(0.07294))(/(sqrt(x1))(0.07294)))(/(0.80935)(x1)))(x1))(/(sqrt(*(0.42393)(0.42180)))(x1)))) | Numero de nos: 28 | Erro: 358871495344128.0000000000000000000000000 |
MELHOR: (sqrt(/(-(/(*(/(-(*(x1)(*(x1)(x1)))(x1))(0.07294))(/(sqrt(x1))(0.07294)))(/(0.80935)(x1)))(x1))(/(sqrt(*(0.42393)(0.42180)))(x1)))) | Numero de nos: 28 | Erro: 358871495344128.0000000000000000000000000 |
MELHOR: (sqrt(/(-(/(*(/(-(*(x1)(*(x1)(x1)))(x1))(0.07294))(/(sqrt(x1))(0.07294)))(/(0.80935)(x1)))(x1))(/(sqrt(*(0.35624)(0.42180)))(x1)))) | Numero de nos: 28 | Erro: 355929744736256.0000000000000000000000000 |
MELHOR: (sqrt(/(-(/(*(/(-(*(x1)(*(x1)(x1)))(x1))(0.07294))(/(sqrt(x1))(0.07294)))(/(0.80935)(x1)))(x1))(/(sqrt(*(0.35624)(0.42180)))(x1)))) | Numero de nos: 28 | Erro: 355929744736256.0000000000000000000000000 |
MELHOR: (sqrt(/(-(/(*(/(-(*(x1)(*(x1)(x1)))(x1))(0.07294))(/(sqrt(x1))(0.07294)))(/(0.80935)(*(0.42393)(x1))))(x1))(/(sqrt(*(0.93188)(0.42180)))(x1)))) | Numero de nos: 30 | Erro: 391735746232320.0000000000000000000000000 |
MELHOR: (sqrt(/(-(/(*(/(-(*(x1)(*(x1)(x1)))(*(0.35624)(0.42180)))(0.07294))(/(sqrt(x1))(0.07294)))(/(0.80935)(x1)))(x1))(/(sqrt(*(x1)(0.42180)))(x1)))) | Numero de nos: 30 | Erro: 408622886551552.0000000000000000000000000 |
MELHOR: (sqrt(/(-(/(*(/(-(*(x1)(*(0.35624)(x1)))(x1))(x1))(-(*(x1)(*(x1)(x1)))(x1)))(/(0.80935)(x1)))(x1))(/(sqrt(x1))(x1)))) | Numero de nos: 29 | Erro: 424872123564032.0000000000000000000000000 |
MELHOR: (sqrt(/(-(/(*(/(-(*(x1)(*(0.35624)(x1)))(x1))(x1))(-(*(x1)(*(x1)(x1)))(x1)))(/(0.80935)(x1)))(x1))(/(sqrt(x1))(x1)))) | Numero de nos: 29 | Erro: 424872123564032.0000000000000000000000000 |
MELHOR: (sqrt(/(-(/(*(/(-(*(x1)(*(0.35624)(x1)))(x1))(x1))(-(*(x1)(*(x1)(x1)))(x1)))(/(0.42180)(x1)))(x1))(/(sqrt(x1))(x1)))) | Numero de nos: 29 | Erro: 421321393569792.0000000000000000000000000 |
MELHOR: (sqrt(/(-(/(*(/(-(*(x1)(*(0.35624)(x1)))(x1))(x1))(-(*(x1)(*(x1)(x1)))(x1)))(/(0.42180)(x1)))(x1))(/(sqrt(x1))(x1)))) | Numero de nos: 29 | Erro: 421321393569792.0000000000000000000000000 |
MELHOR: (sqrt(/(-(/(*(/(-(*(x1)(*(0.35624)(x1)))(x1))(sqrt(x1)))(-(*(x1)(*(x1)(x1)))(x1)))(/(0.42180)(x1)))(x1))(/(sqrt(x1))(x1)))) | Numero de nos: 30 | Erro: 426070956310528.0000000000000000000000000 |
MELHOR: (sqrt(/(-(/(*(/(-(*(x1)(*(0.35624)(x1)))(x1))(sqrt(x1)))(-(*(x1)(*(x1)(x1)))(x1)))(/(0.42180)(x1)))(x1))(/(cos(0.80096))(x1)))) | Numero de nos: 30 | Erro: 409707835555840.0000000000000000000000000 |
MELHOR: (sqrt(/(-(/(*(/(-(*(x1)(*(x1)(x1)))(x1))(x1))(-(*(x1)(*(x1)(x1)))(x1)))(/(0.80935)(x1)))(x1))(/(x1)(x1)))) | Numero de nos: 28 | Erro: 412736659914752.0000000000000000000000000 |
MELHOR: (sqrt(/(-(/(*(/(-(*(x1)(*(x1)(x1)))(x1))(x1))(-(*(x1)(*(x1)(x1)))(x1)))(/(0.80935)(x1)))(x1))(/(x1)(x1)))) | Numero de nos: 28 | Erro: 412736659914752.0000000000000000000000000 |
MELHOR: (sqrt(/(-(/(*(/(-(*(x1)(*(x1)(x1)))(x1))(0.08588))(-(*(x1)(*(x1)(x1)))(x1)))(/(0.80935)(x1)))(x1))(/(x1)(x1)))) | Numero de nos: 28 | Erro: 267604044283904.0000000000000000000000000 |
MELHOR: (sqrt(/(-(/(*(/(-(*(x1)(*(x1)(x1)))(x1))(x1))(-(*(x1)(*(x1)(x1)))(x1)))(/(0.80935)(x1)))(x1))(/(x1)(x1)))) | Numero de nos: 28 | Erro: 412736659914752.0000000000000000000000000 |
MELHOR: (sqrt(/(-(/(*(/(-(*(x1)(*(0.35624)(x1)))(x1))(0.18174))(-(*(x1)(*(x1)(x1)))(x1)))(+(sin(x1))(0.08588)))(x1))(/(sqrt(0.80096))(x1)))) | Numero de nos: 30 | Erro: 409066476142592.0000000000000000000000000 |
MELHOR: (sqrt(/(-(/(*(/(-(*(x1)(*(x1)(x1)))(x1))(0.18174))(-(*(x1)(*(x1)(x1)))(x1)))(+(sin(x1))(0.08588)))(x1))(/(sqrt(x1))(x1)))) | Numero de nos: 30 | Erro: 348787784548352.0000000000000000000000000 |
MELHOR: (sqrt(/(-(/(*(/(-(*(x1)(*(x1)(x1)))(x1))(0.18174))(-(*(x1)(*(x1)(x1)))(x1)))(+(sin(x1))(0.08588)))(x1))(/(sqrt(0.19889))(x1)))) | Numero de nos: 30 | Erro: 345736982036480.0000000000000000000000000 |
