/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 10 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 100 	 MUTACAO   : 0.40
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 8: 
MELHOR: (*(x1)(/(+(cos(*(0.64113)(x1)))(+(/(-(x1)(sqrt(-(sqrt(*(-(+(0.04465)(0.04465))(cos(sqrt(-(x1)(0.43474)))))(x1)))(0.04465))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 232296258994176.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(cos(x1)))(+(/(-(x1)(sqrt(-(sqrt(*(-(+(0.04465)(0.04465))(cos(sqrt(-(x1)(0.43474)))))(x1)))(0.04465))))(0.04465))(x1)))(0.04465))) | Numero de nos: 29 | Erro: 232287954272256.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(cos(*(0.64113)(x1)))(+(/(-(x1)(sqrt(-(sqrt(*(-(+(x1)(0.04465))(cos(sqrt(-(x1)(0.43474)))))(x1)))(x1))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 219509604483072.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(/(x1)(0.25303))(+(/(-(x1)(sqrt(*(-(+(0.04465)(0.04465))(cos(sqrt(-(x1)(0.43474)))))(0.04465))))(0.04465))(0.04465)))(0.04465))) | Numero de nos: 26 | Erro: 214052127113216.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(/(x1)(0.25303))(+(/(-(x1)(sqrt(*(-(+(x1)(0.04465))(cos(sqrt(-(x1)(0.43474)))))(0.04465))))(0.04465))(0.04465)))(0.04465))) | Numero de nos: 26 | Erro: 214674696044544.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(/(x1)(0.25303))(+(/(-(x1)(sqrt(cos(sin(-(*(*(*(sqrt(sin(cos(cos(0.99856)))))(x1))(0.06983))(x1))(0.39772))))))(0.04465))(0.04465)))(0.04465))) | Numero de nos: 30 | Erro: 214035987431424.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(/(x1)(0.25303))(+(/(-(-(x1)(0.43474))(sqrt(*(-(+(0.04465)(0.04465))(cos(sqrt(-(x1)(0.43474)))))(0.04465))))(0.04465))(0.04465)))(0.04465))) | Numero de nos: 28 | Erro: 214023941390336.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(/(x1)(0.04465))(+(/(-(x1)(sqrt(cos(sin(-(*(*(*(sqrt(sin(cos(cos(0.04465)))))(x1))(0.06983))(x1))(0.39772))))))(0.04465))(0.04465)))(0.04465))) | Numero de nos: 30 | Erro: 111901354754048.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(/(x1)(0.04465))(+(/(-(x1)(sqrt(cos(sin(-(*(*(*(sqrt(sin(cos(cos(0.04465)))))(x1))(0.06983))(x1))(x1))))))(0.04465))(0.04465)))(0.04465))) | Numero de nos: 30 | Erro: 111888813785088.0000000000000000000000000 |
MELHOR: (*(x1)(/(+(/(x1)(0.04465))(+(/(-(x1)(sqrt(cos(sin(-(*(*(*(sqrt(sin(cos(cos(0.04465)))))(x1))(0.06983))(x1))(0.39772))))))(0.04465))(x1)))(0.04465))) | Numero de nos: 30 | Erro: 107583494946816.0000000000000000000000000 |
