/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.50
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 9: 
(+(+(-(0.58815)(x1))(*(0.62331)(0.95306)))(*(+(x1)(x1))(*(0.54259)(x1)))) | Numero de nos: 15 | Erro: 433691335589888.0000000000000000000000000 |
(-(+(*(x1)(0.93896))(/(x1)(x1)))(*(/(x1)(0.23124))(*(0.15091)(0.92563)))) | Numero de nos: 15 | Erro: 434176465567744.0000000000000000000000000 |
(*(*(*(0.44328)(0.04913))(-(0.61602)(0.83938)))(*(+(0.45775)(0.96966))(/(0.54646)(0.14444)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(-(+(/(x1)(0.54332))(-(0.75164)(x1)))(/(/(0.98624)(x1))(+(x1)(0.76836)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(*(/(/(0.92569)(0.34745))(-(x1)(x1)))(+(-(x1)(0.24500))(+(x1)(0.24952)))) | Numero de nos: 15 | Erro: 434177270874112.0000000000000000000000000 |
(+(+(*(0.05460)(0.50020))(/(x1)(x1)))(*(*(x1)(0.76498))(*(0.67531)(0.49776)))) | Numero de nos: 15 | Erro: 434176331350016.0000000000000000000000000 |
(*(-(-(x1)(0.15439))(+(0.06357)(0.86141)))(/(*(0.95389)(0.37620))(-(x1)(0.46754)))) | Numero de nos: 15 | Erro: 434176499122176.0000000000000000000000000 |
(+(/(-(0.78329)(x1))(/(x1)(0.32405)))(/(/(x1)(x1))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434176499122176.0000000000000000000000000 |
(*(+(+(x1)(0.96057))(+(x1)(0.78158)))(-(/(0.07639)(0.34211))(/(0.08328)(x1)))) | Numero de nos: 15 | Erro: 434176700448768.0000000000000000000000000 |
(/(-(*(x1)(0.32710))(+(x1)(0.73000)))(/(-(0.82952)(x1))(-(0.55376)(0.10480)))) | Numero de nos: 15 | Erro: 434176499122176.0000000000000000000000000 |
(/(/(/(x1)(0.13150))(/(x1)(0.98736)))(/(/(x1)(x1))(*(x1)(0.19605)))) | Numero de nos: 15 | Erro: 434177103101952.0000000000000000000000000 |
(*(*(-(x1)(0.51320))(+(x1)(x1)))(+(-(x1)(0.56523))(+(0.31074)(x1)))) | Numero de nos: 15 | Erro: 443368198897664.0000000000000000000000000 |
(/(*(*(x1)(0.67318))(/(0.08371)(0.11844)))(-(-(x1)(x1))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 434176666894336.0000000000000000000000000 |
(+(/(-(x1)(x1))(/(x1)(0.14774)))(/(*(x1)(0.95984))(-(x1)(0.04895)))) | Numero de nos: 15 | Erro: 434176364904448.0000000000000000000000000 |

MELHOR: (*(*(+(x1)(x1))(*(x1)(x1)))(*(*(0.25501)(0.54973))(+(0.09366)(x1)))) | Numero de nos: 15 | Erro: 224742770475008.0000000000000000000000000 |
MELHOR: (*(*(+(x1)(x1))(*(x1)(x1)))(*(*(0.25501)(0.54973))(+(0.09366)(x1)))) | Numero de nos: 15 | Erro: 224742770475008.0000000000000000000000000 |
MELHOR: (*(*(+(x1)(x1))(*(x1)(x1)))(*(*(0.25501)(0.54973))(+(0.09366)(x1)))) | Numero de nos: 15 | Erro: 224742770475008.0000000000000000000000000 |
MELHOR: (*(-(*(+(x1)(x1))(x1))(-(-(*(x1)(0.59139))(*(x1)(+(*(-(/(*(x1)(-(x1)(0.55620)))(x1))(0.77624))(x1))(x1))))(0.21839)))(x1)) | Numero de nos: 29 | Erro: 100463255552.0000000000000000000000000 |
MELHOR: (*(-(*(+(x1)(x1))(x1))(-(-(*(x1)(0.59139))(*(x1)(+(*(-(/(*(x1)(-(x1)(0.55620)))(x1))(0.77624))(x1))(x1))))(0.21839)))(x1)) | Numero de nos: 29 | Erro: 100463255552.0000000000000000000000000 |
MELHOR: (*(-(*(+(x1)(x1))(x1))(-(-(*(x1)(0.59139))(*(x1)(+(*(-(/(*(x1)(-(x1)(0.55620)))(x1))(0.77624))(x1))(x1))))(0.21839)))(x1)) | Numero de nos: 29 | Erro: 100463255552.0000000000000000000000000 |
MELHOR: (*(-(*(+(x1)(0.38240))(x1))(-(-(*(x1)(0.59139))(*(x1)(+(*(-(/(*(x1)(-(x1)(0.55620)))(x1))(0.77624))(x1))(x1))))(0.21839)))(x1)) | Numero de nos: 29 | Erro: 24699344896.0000000000000000000000000 |
MELHOR: (*(-(*(+(x1)(0.38240))(x1))(-(-(*(x1)(0.53197))(*(x1)(+(*(-(/(*(x1)(-(x1)(0.55620)))(x1))(0.77624))(x1))(x1))))(0.21839)))(x1)) | Numero de nos: 29 | Erro: 24694132736.0000000000000000000000000 |
MELHOR: (*(-(*(+(x1)(0.89825))(x1))(-(-(*(x1)(0.59139))(*(x1)(+(*(-(/(*(x1)(-(x1)(0.55620)))(x1))(0.77624))(x1))(x1))))(0.21839)))(x1)) | Numero de nos: 29 | Erro: 24683806720.0000000000000000000000000 |
MELHOR: (*(-(*(+(x1)(0.89825))(x1))(-(-(*(x1)(0.59139))(*(x1)(+(*(-(/(*(x1)(-(x1)(0.55620)))(x1))(0.77624))(x1))(x1))))(0.59731)))(x1)) | Numero de nos: 29 | Erro: 24652574720.0000000000000000000000000 |
MELHOR: (*(-(*(+(0.59139)(x1))(x1))(-(-(*(x1)(0.59139))(*(x1)(+(*(-(/(*(x1)(-(x1)(0.55620)))(x1))(0.59139))(x1))(x1))))(0.21839)))(x1)) | Numero de nos: 29 | Erro: 4930277376.0000000000000000000000000 |
MELHOR: (*(-(*(+(0.59139)(x1))(x1))(-(-(*(x1)(0.59139))(*(x1)(+(*(-(/(*(x1)(-(x1)(0.55620)))(x1))(0.59139))(x1))(x1))))(0.21839)))(x1)) | Numero de nos: 29 | Erro: 4930277376.0000000000000000000000000 |
MELHOR: (*(-(*(+(0.59139)(x1))(x1))(-(-(*(x1)(0.59139))(*(x1)(+(*(-(/(*(x1)(-(x1)(0.55620)))(x1))(0.59139))(x1))(x1))))(0.21839)))(x1)) | Numero de nos: 29 | Erro: 4930277376.0000000000000000000000000 |
MELHOR: (*(-(*(+(0.59139)(x1))(x1))(-(-(*(x1)(0.59139))(*(x1)(+(*(-(/(*(x1)(-(x1)(0.55620)))(x1))(0.59139))(x1))(x1))))(0.21839)))(x1)) | Numero de nos: 29 | Erro: 4930277376.0000000000000000000000000 |
MELHOR: (*(-(*(+(0.59139)(x1))(x1))(-(-(*(x1)(0.59139))(*(x1)(+(*(-(/(*(x1)(-(x1)(0.55620)))(x1))(0.59139))(x1))(x1))))(0.21839)))(x1)) | Numero de nos: 29 | Erro: 4930277376.0000000000000000000000000 |
MELHOR: (*(-(*(+(0.59139)(x1))(x1))(-(-(*(x1)(0.59139))(*(x1)(+(*(-(/(*(x1)(-(x1)(0.55620)))(x1))(0.59139))(x1))(x1))))(x1)))(x1)) | Numero de nos: 29 | Erro: 4905562624.0000000000000000000000000 |
MELHOR: (*(-(+(/(x1)(x1))(0.55620))(-(-(/(0.59731)(0.60598))(*(x1)(+(*(x1)(+(/(x1)(-(x1)(0.80654)))(x1)))(0.70199))))(0.21839)))(x1)) | Numero de nos: 27 | Erro: 32262100.0000000000000000000000000 |
MELHOR: (*(-(+(/(x1)(x1))(0.55620))(-(-(/(0.59731)(0.60598))(*(x1)(+(*(x1)(+(/(x1)(-(x1)(0.80654)))(x1)))(0.70199))))(0.21839)))(x1)) | Numero de nos: 27 | Erro: 32262100.0000000000000000000000000 |
MELHOR: (*(-(*(0.78603)(*(+(x1)(x1))(0.32981)))(-(-(x1)(*(x1)(+(*(x1)(+(/(x1)(-(x1)(0.80654)))(x1)))(0.70199))))(0.21839)))(x1)) | Numero de nos: 27 | Erro: 91177.3515625000000000000000000 |
MELHOR: (*(-(+(/(x1)(x1))(x1))(-(-(/(0.59731)(0.60598))(*(x1)(+(*(x1)(+(/(*(x1)(0.00101))(-(x1)(0.80654)))(x1)))(x1))))(0.21839)))(x1)) | Numero de nos: 29 | Erro: 82656.9687500000000000000000000 |
MELHOR: (*(-(+(/(x1)(x1))(x1))(-(-(/(x1)(x1))(*(x1)(+(*(x1)(+(/(*(x1)(0.00101))(-(x1)(0.80654)))(x1)))(x1))))(0.21839)))(x1)) | Numero de nos: 29 | Erro: 80748.6093750000000000000000000 |
MELHOR: (*(-(+(/(x1)(x1))(x1))(-(-(/(x1)(x1))(*(x1)(+(*(x1)(+(/(*(x1)(0.00101))(-(x1)(0.80654)))(x1)))(x1))))(0.21839)))(x1)) | Numero de nos: 29 | Erro: 80748.6093750000000000000000000 |
MELHOR: (*(-(+(/(x1)(x1))(x1))(-(-(/(x1)(x1))(*(x1)(+(*(x1)(+(/(*(0.28465)(0.00101))(-(x1)(0.80654)))(x1)))(x1))))(0.21839)))(x1)) | Numero de nos: 29 | Erro: 50938.2226562500000000000000000 |
MELHOR: (*(-(+(/(x1)(x1))(x1))(-(-(/(0.59731)(0.60598))(*(x1)(+(*(x1)(+(/(*(0.55620)(0.00101))(-(x1)(0.80654)))(x1)))(x1))))(0.21839)))(x1)) | Numero de nos: 29 | Erro: 48997.5234375000000000000000000 |
MELHOR: (*(-(+(/(0.70199)(x1))(x1))(-(-(/(x1)(x1))(*(x1)(+(*(x1)(+(/(*(x1)(0.00101))(-(x1)(0.80654)))(x1)))(x1))))(0.21839)))(x1)) | Numero de nos: 29 | Erro: 42285.9140625000000000000000000 |
MELHOR: (*(-(+(/(0.70199)(x1))(x1))(-(-(/(x1)(x1))(*(x1)(+(*(x1)(+(/(*(x1)(0.00101))(-(x1)(0.80654)))(x1)))(x1))))(0.21839)))(x1)) | Numero de nos: 29 | Erro: 42285.9140625000000000000000000 |
