/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.50
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 8: 
(/(*(/(0.74526)(x1))(+(x1)(x1)))(+(-(0.57445)(0.64373))(*(0.59126)(x1)))) | Numero de nos: 15 | Erro: 434176599785472.0000000000000000000000000 |
(*(*(/(x1)(x1))(+(x1)(x1)))(+(/(0.77898)(x1))(/(0.94705)(x1)))) | Numero de nos: 15 | Erro: 434175727370240.0000000000000000000000000 |
(+(*(-(0.47755)(x1))(*(x1)(x1)))(-(+(x1)(x1))(+(0.71047)(0.09134)))) | Numero de nos: 15 | Erro: 433071887220736.0000000000000000000000000 |
(/(/(+(x1)(0.98782))(+(x1)(0.55663)))(/(+(0.67217)(x1))(-(0.46059)(x1)))) | Numero de nos: 15 | Erro: 434176801112064.0000000000000000000000000 |
(/(/(+(0.44749)(x1))(/(0.25498)(x1)))(/(+(x1)(x1))(*(x1)(0.90680)))) | Numero de nos: 15 | Erro: 433382970359808.0000000000000000000000000 |
(*(/(/(0.18271)(0.76192))(-(x1)(0.59920)))(+(/(0.83932)(x1))(-(0.13358)(0.65139)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(*(*(+(0.00595)(0.02194))(/(x1)(x1)))(+(+(0.29719)(x1))(*(x1)(x1)))) | Numero de nos: 15 | Erro: 434164151091200.0000000000000000000000000 |
(+(/(/(0.12436)(x1))(-(0.74810)(0.07395)))(*(/(x1)(x1))(-(0.50221)(x1)))) | Numero de nos: 15 | Erro: 434176029360128.0000000000000000000000000 |
(/(/(*(x1)(x1))(*(x1)(0.86734)))(*(*(0.77929)(x1))(*(x1)(0.13575)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(/(*(+(0.56130)(x1))(/(0.34379)(x1)))(-(-(x1)(0.73876))(-(0.44261)(0.74029)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(+(-(*(x1)(x1))(+(x1)(x1)))(-(-(0.51912)(x1))(*(x1)(0.53230)))) | Numero de nos: 15 | Erro: 433728547454976.0000000000000000000000000 |
(+(+(-(x1)(x1))(*(x1)(0.48997)))(-(/(x1)(x1))(+(x1)(0.69924)))) | Numero de nos: 15 | Erro: 434176230686720.0000000000000000000000000 |
(/(/(*(0.56087)(0.77584))(*(x1)(x1)))(/(/(x1)(x1))(/(0.05481)(0.84191)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(*(/(-(0.58269)(x1))(+(0.18516)(0.49245)))(+(-(x1)(0.78085))(*(0.53304)(x1)))) | Numero de nos: 15 | Erro: 435188836335616.0000000000000000000000000 |
(/(/(*(x1)(x1))(+(x1)(0.32292)))(/(/(x1)(0.73479))(*(0.65126)(0.46681)))) | Numero de nos: 15 | Erro: 434176599785472.0000000000000000000000000 |
(/(+(*(x1)(0.04166))(+(x1)(x1)))(+(+(0.30503)(0.34602))(-(0.73348)(x1)))) | Numero de nos: 15 | Erro: 434177103101952.0000000000000000000000000 |
(*(/(-(x1)(x1))(-(0.27903)(0.32682)))(/(/(x1)(x1))(*(x1)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(-(+(+(0.51216)(0.75005))(/(0.07837)(x1)))(/(-(0.86645)(0.05985))(-(0.76415)(x1)))) | Numero de nos: 15 | Erro: 434176297795584.0000000000000000000000000 |
(+(*(/(x1)(x1))(/(0.14548)(0.60298)))(-(+(0.25608)(0.08747))(-(x1)(0.09116)))) | Numero de nos: 15 | Erro: 434175995805696.0000000000000000000000000 |
(/(/(-(x1)(0.93225))(-(0.25986)(0.17096)))(/(/(x1)(0.52104))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 434183411335168.0000000000000000000000000 |
(-(-(+(x1)(x1))(*(x1)(0.39534)))(/(*(0.25654)(x1))(*(x1)(x1)))) | Numero de nos: 15 | Erro: 434177136656384.0000000000000000000000000 |
(/(-(-(0.21192)(0.52843))(+(x1)(x1)))(-(*(x1)(0.43443))(+(0.36073)(0.08261)))) | Numero de nos: 15 | Erro: 434177707081728.0000000000000000000000000 |
(-(-(/(0.69985)(x1))(-(0.66912)(0.29316)))(-(/(x1)(0.52635))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434175727370240.0000000000000000000000000 |
(*(+(/(x1)(0.76739))(+(x1)(x1)))(/(/(x1)(0.39085))(/(x1)(0.72994)))) | Numero de nos: 15 | Erro: 434178915041280.0000000000000000000000000 |
(*(+(-(0.70196)(x1))(/(0.72698)(0.06937)))(*(/(x1)(0.75671))(+(0.05887)(0.82223)))) | Numero de nos: 15 | Erro: 434701760200704.0000000000000000000000000 |
(-(-(*(0.78280)(x1))(+(0.83233)(0.14902)))(*(-(x1)(x1))(-(0.33149)(x1)))) | Numero de nos: 15 | Erro: 434177103101952.0000000000000000000000000 |
(/(*(/(0.18763)(0.77383))(-(x1)(x1)))(-(-(0.50954)(0.85098))(-(x1)(0.29188)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(*(+(+(x1)(0.02307))(+(x1)(0.11216)))(+(*(0.04358)(x1))(/(x1)(0.38472)))) | Numero de nos: 15 | Erro: 431819199610880.0000000000000000000000000 |
(/(+(*(0.00043)(x1))(/(0.60338)(0.21406)))(*(/(0.61013)(x1))(-(0.90622)(x1)))) | Numero de nos: 15 | Erro: 434177707081728.0000000000000000000000000 |
(*(*(-(x1)(0.53719))(-(x1)(x1)))(+(-(x1)(0.62401))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(-(-(-(x1)(0.73138))(*(x1)(0.78814)))(-(*(0.02570)(x1))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 434177505755136.0000000000000000000000000 |
(*(*(+(0.26402)(x1))(/(x1)(0.61632)))(*(+(x1)(0.83248))(/(x1)(0.36833)))) | Numero de nos: 15 | Erro: 5027449272270848.0000000000000000000000000 |
(+(*(+(0.08631)(0.66601))(*(0.81329)(x1)))(+(*(x1)(0.17859))(-(0.05301)(0.60549)))) | Numero de nos: 15 | Erro: 434176968884224.0000000000000000000000000 |
(/(+(*(x1)(0.30744))(/(x1)(x1)))(+(/(0.00549)(0.06418))(/(x1)(0.42033)))) | Numero de nos: 15 | Erro: 434176599785472.0000000000000000000000000 |
(-(+(-(x1)(0.98221))(-(0.53432)(x1)))(+(+(0.58269)(0.64745))(/(0.03107)(0.95071)))) | Numero de nos: 15 | Erro: 434177035993088.0000000000000000000000000 |
(*(*(+(0.90219)(0.63607))(-(0.26890)(0.75039)))(/(+(0.87893)(x1))(+(x1)(0.52864)))) | Numero de nos: 15 | Erro: 434176734003200.0000000000000000000000000 |
(*(*(+(x1)(x1))(+(x1)(x1)))(+(+(0.78542)(0.80261))(/(x1)(0.06409)))) | Numero de nos: 15 | Erro: 1371471909748736.0000000000000000000000000 |
(/(+(/(0.79449)(x1))(-(x1)(x1)))(*(+(x1)(x1))(-(0.68163)(0.32716)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |

MELHOR: (*(/(+(x1)(x1))(*(0.05646)(0.54842)))(/(*(x1)(x1))(+(x1)(0.67379)))) | Numero de nos: 15 | Erro: 405823742279680.0000000000000000000000000 |
MELHOR: (-(/(0.66405)(x1))(/(+(*(0.29295)(+(/(x1)(/(/(/(0.55196)(x1))(x1))(-(-(-(x1)(-(x1)(x1)))(x1))(x1))))(0.19279)))(0.38224))(0.50313))) | Numero de nos: 29 | Erro: 1595066286080.0000000000000000000000000 |
