Seed 1: 
(sqrt (+(-(x1)(0.82241))(sin (x1)))) | Numero de nos: 7 | Erro = 434175693815808.0000000000000000000000000  
(/(sqrt (-(0.98215)(x1)))(*(+(x1)(x1))(+(0.35533)(x1)))) | Numero de nos: 12 | Erro = 434176633339904.0000000000000000000000000  
(sin (*(*(0.98257)(0.51357))(sqrt (x1)))) | Numero de nos: 7 | Erro = 434176599785472.0000000000000000000000000  
(*(-(+(0.33653)(x1))(-(x1)(0.92282)))(/(sin (0.68670))(*(x1)(0.72176)))) | Numero de nos: 14 | Erro = 434176633339904.0000000000000000000000000  
(*(sqrt (cos (0.02078)))(sin (*(0.60405)(x1)))) | Numero de nos: 8 | Erro = 434176566231040.0000000000000000000000000  
(sqrt (+(/(0.86801)(0.42351))(/(x1)(x1)))) | Numero de nos: 8 | Erro = 434176163577856.0000000000000000000000000  
(*(+(/(0.24485)(0.50645))(*(0.36750)(x1)))(+(cos (x1))(*(x1)(x1)))) | Numero de nos: 14 | Erro = 434400944717824.0000000000000000000000000  
(*(sin (/(x1)(0.64962)))(cos (+(x1)(x1)))) | Numero de nos: 9 | Erro = 434176700448768.0000000000000000000000000  
(/(/(cos (0.45372))(-(x1)(0.28251)))(+(cos (x1))(/(0.79540)(x1)))) | Numero de nos: 13 | Erro = 434176633339904.0000000000000000000000000  
(/(sqrt (-(0.19425)(0.23151)))(+(+(x1)(x1))(-(x1)(x1)))) | Numero de nos: 12 | Erro = 434176633339904.0000000000000000000000000  
(-(cos (sin (0.60457)))(+(+(x1)(x1))(sqrt (x1)))) | Numero de nos: 10 | Erro = 434176633339904.0000000000000000000000000  
(-(/(/(x1)(x1))(sqrt (x1)))(-(cos (x1))(sin (0.84381)))) | Numero de nos: 12 | Erro = 434176264241152.0000000000000000000000000  
(+(/(+(x1)(x1))(*(0.60582)(x1)))(/(-(x1)(x1))(-(0.15012)(x1)))) | Numero de nos: 15 | Erro = 434175794479104.0000000000000000000000000  
(/(*(-(x1)(0.02744))(sqrt (0.16901)))(*(cos (x1))(+(x1)(x1)))) | Numero de nos: 13 | Erro = 434176734003200.0000000000000000000000000  
(sqrt (sin (sqrt (0.96255)))) | Numero de nos: 4 | Erro = 434176364904448.0000000000000000000000000  
(/(+(-(x1)(0.65853))(-(0.28312)(0.61626)))(/(+(x1)(x1))(-(x1)(x1)))) | Numero de nos: 15 | Erro = 434177170210816.0000000000000000000000000  
(-(sqrt (-(0.10526)(x1)))(+(sqrt (x1))(*(x1)(0.56468)))) | Numero de nos: 11 | Erro = 434176297795584.0000000000000000000000000  
(cos (-(+(x1)(x1))(sin (0.87774)))) | Numero de nos: 7 | Erro = 434176633339904.0000000000000000000000000  
(/(/(sqrt (0.41859))(/(x1)(0.15119)))(*(sqrt (x1))(sin (0.33277)))) | Numero de nos: 12 | Erro = 434176633339904.0000000000000000000000000  
(*(sin (sin (x1)))(cos (*(x1)(x1)))) | Numero de nos: 8 | Erro = 434176633339904.0000000000000000000000000  
(/(/(sin (0.57625))(+(0.96921)(0.90399)))(-(*(x1)(x1))(+(0.76473)(0.38911)))) | Numero de nos: 14 | Erro = 434176633339904.0000000000000000000000000  
(+(sqrt (-(0.08173)(x1)))(cos (sin (x1)))) | Numero de nos: 8 | Erro = 434175458934784.0000000000000000000000000  
(sin (sqrt (+(x1)(0.91339)))) | Numero de nos: 5 | Erro = 434176499122176.0000000000000000000000000  
(/(sin (-(0.18229)(x1)))(+(*(x1)(x1))(/(0.80926)(0.91299)))) | Numero de nos: 12 | Erro = 434176633339904.0000000000000000000000000  
(-(sqrt (sqrt (x1)))(cos (cos (0.29954)))) | Numero de nos: 7 | Erro = 434176331350016.0000000000000000000000000  
(sqrt (cos (sin (x1)))) | Numero de nos: 4 | Erro = 434176398458880.0000000000000000000000000  
(cos (sin (*(x1)(x1)))) | Numero de nos: 5 | Erro = 434176465567744.0000000000000000000000000  
(-(sqrt (-(x1)(0.09354)))(/(+(0.38386)(x1))(-(x1)(0.97497)))) | Numero de nos: 12 | Erro = 434176029360128.0000000000000000000000000  
(*(*(-(0.75533)(0.10172))(cos (x1)))(sqrt (-(x1)(x1)))) | Numero de nos: 11 | Erro = 434176633339904.0000000000000000000000000  
(-(sin (/(x1)(0.22068)))(/(sqrt (0.19291))(+(0.59349)(x1)))) | Numero de nos: 11 | Erro = 434176566231040.0000000000000000000000000  
(+(*(sqrt (0.92843))(*(x1)(0.06189)))(sin (*(0.35942)(x1)))) | Numero de nos: 11 | Erro = 434176633339904.0000000000000000000000000  
(-(sin (/(x1)(0.43327)))(+(*(0.52785)(0.79412))(sin (0.82778)))) | Numero de nos: 11 | Erro = 434176868220928.0000000000000000000000000  
(sqrt (+(-(x1)(0.76290))(sqrt (0.21125)))) | Numero de nos: 7 | Erro = 434175693815808.0000000000000000000000000  
(*(cos (sqrt (0.40382)))(-(-(x1)(x1))(/(0.76177)(0.63646)))) | Numero de nos: 11 | Erro = 434176834666496.0000000000000000000000000  
(-(sin (/(0.70940)(0.86288)))(/(+(0.13083)(0.55269))(*(0.21888)(0.30461)))) | Numero de nos: 12 | Erro = 434178948595712.0000000000000000000000000  
(cos (-(sqrt (0.82064))(sin (0.98794)))) | Numero de nos: 6 | Erro = 434176364904448.0000000000000000000000000  

POPULACAO FINAL 
(*(/(x1)(0.00085))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(-(/(-(0.00085)(x1))(x1))(x1))(0.00085)))(*(*(0.00085)(+(x1)(0.00085)))(x1)))) | Numero de nos: 29 | Erro = 47.1892356872558590000000000  
(*(/(x1)(0.00085))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(-(/(-(0.00085)(x1))(x1))(x1))(0.00085)))(*(*(0.00085)(+(x1)(0.00085)))(x1)))) | Numero de nos: 29 | Erro = 47.1892356872558590000000000  
(*(/(x1)(0.00085))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(-(/(-(0.00085)(x1))(x1))(x1))(0.00085)))(*(*(0.00085)(+(x1)(0.00085)))(x1)))) | Numero de nos: 29 | Erro = 47.1892356872558590000000000  
(*(/(x1)(0.00085))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(-(/(-(0.00085)(x1))(x1))(x1))(0.00085)))(*(*(0.00085)(+(x1)(0.00085)))(x1)))) | Numero de nos: 29 | Erro = 47.1892356872558590000000000  
(*(/(x1)(0.00085))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(-(/(-(0.00085)(x1))(x1))(x1))(0.00085)))(*(*(0.00085)(+(x1)(0.00085)))(x1)))) | Numero de nos: 29 | Erro = 47.1892356872558590000000000  
(*(/(x1)(0.00085))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(-(/(-(0.00085)(x1))(x1))(x1))(0.00085)))(*(*(0.00085)(+(x1)(0.00085)))(x1)))) | Numero de nos: 29 | Erro = 47.1892356872558590000000000  
(*(/(x1)(x1))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(-(/(-(0.00085)(x1))(x1))(x1))(0.00085)))(*(*(0.00085)(+(0.22278)(0.00085)))(x1)))) | Numero de nos: 29 | Erro = 434177539309568.0000000000000000000000000  
(*(sqrt (-(x1)(0.62682)))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(*(/(x1)(0.45918))(cos (0.72329)))(0.00085)))(*(cos (x1))(x1)))) | Numero de nos: 26 | Erro = 434136636456960.0000000000000000000000000  
(*(/(x1)(0.00085))(+(-(*(x1)(*(*(x1)(x1))(x1)))(*(-(/(-(0.00085)(x1))(x1))(x1))(0.00085)))(*(*(0.96930)(+(x1)(0.00085)))(x1)))) | Numero de nos: 29 | Erro = 1221421903457498600000000.0000000000000000000000000  
(sin (x1)) | Numero de nos: 2 | Erro = 434176633339904.0000000000000000000000000  
(*(/(sin (x1))(0.00085))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(-(/(-(0.00085)(0.00085))(0.87347))(x1))(0.00085)))(*(*(0.00085)(+(x1)(x1)))(x1)))) | Numero de nos: 30 | Erro = 437103854878720.0000000000000000000000000  
(*(/(x1)(x1))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(-(/(-(0.00085)(x1))(x1))(x1))(0.00085)))(*(*(0.00085)(+(x1)(0.00085)))(x1)))) | Numero de nos: 29 | Erro = 434177103101952.0000000000000000000000000  
