/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.30
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 4: 
MELHOR: (+(*(0.75503)(+(*(/(x1)(/(+(-(/(*(-(0.07627)(0.05286))(x1))(0.49669))(x1))(x1))(0.41426)))(x1))(x1)))(*(*(x1)(x1))(*(x1)(x1)))) | Numero de nos: 29 | Erro: 221432725504.0000000000000000000000000 |
MELHOR: (+(-(-(x1)(0.96445))(+(0.95926)(0.43742)))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 19 | Erro: 125645440.0000000000000000000000000 |
MELHOR: (+(-(-(x1)(0.96445))(+(0.95926)(0.43742)))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 19 | Erro: 125645440.0000000000000000000000000 |
MELHOR: (+(-(-(x1)(0.96445))(+(0.95926)(0.43742)))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 19 | Erro: 125645440.0000000000000000000000000 |
MELHOR: (+(-(-(x1)(0.96445))(+(0.95926)(0.43742)))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 19 | Erro: 125645440.0000000000000000000000000 |
MELHOR: (+(-(-(x1)(0.96445))(+(0.95926)(0.43742)))(*(*(x1)(x1))(*(+(/(+(0.72005)(x1))(x1))(x1))(x1)))) | Numero de nos: 21 | Erro: 9961664.0000000000000000000000000 |
MELHOR: (+(*(*(+(+(-(+(0.98263)(x1))(0.98938))(0.02176))(0.72005))(x1))(x1))(*(*(x1)(x1))(*(x1)(x1)))) | Numero de nos: 21 | Erro: 8839996.0000000000000000000000000 |
MELHOR: (+(-(-(*(x1)(x1))(0.96445))(+(0.95926)(0.43742)))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 21 | Erro: 84120.4531250000000000000000000 |
MELHOR: (+(-(-(*(x1)(x1))(0.96445))(+(0.95926)(0.43742)))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 21 | Erro: 84120.4531250000000000000000000 |
MELHOR: (+(-(-(*(x1)(x1))(0.96445))(+(0.95926)(0.43742)))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 21 | Erro: 84120.4531250000000000000000000 |
MELHOR: (+(-(-(*(x1)(x1))(0.96445))(+(0.95926)(0.43742)))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 21 | Erro: 84120.4531250000000000000000000 |
MELHOR: (+(-(-(x1)(x1))(+(-(x1)(+(x1)(*(+(/(x1)(x1))(x1))(x1))))(0.43742)))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 29 | Erro: 208.9344177246093800000000000 |
MELHOR: (+(-(-(x1)(x1))(+(-(x1)(+(x1)(*(+(/(x1)(x1))(x1))(x1))))(0.43742)))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 29 | Erro: 208.9344177246093800000000000 |
MELHOR: (+(-(-(x1)(x1))(+(-(x1)(+(x1)(*(+(/(x1)(x1))(x1))(x1))))(0.43742)))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 29 | Erro: 208.9344177246093800000000000 |
MELHOR: (+(-(-(x1)(x1))(+(-(x1)(+(x1)(*(+(/(x1)(x1))(x1))(x1))))(0.43742)))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 29 | Erro: 208.9344177246093800000000000 |
MELHOR: (+(*(+(/(x1)(x1))(x1))(x1))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 19 | Erro: 100.0000000000000000000000000 |
MELHOR: (+(*(+(/(x1)(x1))(x1))(x1))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 19 | Erro: 100.0000000000000000000000000 |
MELHOR: (+(*(+(/(x1)(x1))(x1))(x1))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 19 | Erro: 100.0000000000000000000000000 |
MELHOR: (+(*(+(/(x1)(x1))(x1))(x1))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 19 | Erro: 100.0000000000000000000000000 |
MELHOR: (+(*(+(/(x1)(x1))(x1))(x1))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 19 | Erro: 100.0000000000000000000000000 |
MELHOR: (+(*(+(/(x1)(x1))(x1))(x1))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 19 | Erro: 100.0000000000000000000000000 |
MELHOR: (+(*(+(/(x1)(x1))(x1))(x1))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 19 | Erro: 100.0000000000000000000000000 |
MELHOR: (+(-(x1)(+(-(x1)(+(+(0.37355)(x1))(*(+(/(x1)(x1))(x1))(x1))))(x1)))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 29 | Erro: 40.4243736267089840000000000 |
MELHOR: (+(-(x1)(+(-(x1)(+(+(0.37355)(x1))(*(+(/(x1)(x1))(x1))(x1))))(x1)))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 29 | Erro: 40.4243736267089840000000000 |
MELHOR: (+(-(x1)(+(-(x1)(+(+(0.37355)(x1))(*(+(/(x1)(x1))(x1))(x1))))(x1)))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 29 | Erro: 40.4243736267089840000000000 |
MELHOR: (+(-(x1)(+(-(x1)(+(+(0.37355)(x1))(*(+(/(x1)(x1))(x1))(x1))))(x1)))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 29 | Erro: 40.4243736267089840000000000 |
MELHOR: (+(-(x1)(+(-(x1)(+(+(0.37355)(x1))(*(+(/(x1)(x1))(x1))(x1))))(x1)))(*(*(x1)(x1))(*(+(/(x1)(x1))(x1))(x1)))) | Numero de nos: 29 | Erro: 40.4243736267089840000000000 |
