/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.40
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 3: 
(-(-(-(x1)(0.86257))(-(0.73040)(0.64217)))(-(/(0.69607)(x1))(*(0.14356)(x1)))) | Numero de nos: 15 | Erro: 434177237319680.0000000000000000000000000 |
(*(*(+(0.64278)(x1))(*(0.69811)(x1)))(/(/(0.22666)(x1))(*(x1)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(/(/(/(0.88748)(0.96472))(/(0.17838)(0.83077)))(+(-(x1)(0.51945))(/(0.30604)(x1)))) | Numero de nos: 15 | Erro: 434176599785472.0000000000000000000000000 |
(-(/(*(0.67824)(x1))(-(0.63784)(x1)))(-(-(0.32600)(0.28809))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 434177472200704.0000000000000000000000000 |
(-(*(/(0.04208)(x1))(+(x1)(x1)))(-(+(x1)(0.61385))(/(0.56575)(0.44810)))) | Numero de nos: 15 | Erro: 434175995805696.0000000000000000000000000 |
(/(/(/(x1)(x1))(-(0.25083)(0.91659)))(/(-(0.61458)(x1))(-(x1)(0.87588)))) | Numero de nos: 15 | Erro: 434176197132288.0000000000000000000000000 |
(+(*(/(0.41823)(0.58476))(*(0.73986)(0.44743)))(-(-(x1)(x1))(+(0.99090)(x1)))) | Numero de nos: 15 | Erro: 434176398458880.0000000000000000000000000 |
(+(-(*(0.91049)(x1))(*(0.84442)(0.55342)))(/(/(0.80746)(x1))(/(0.00150)(x1)))) | Numero de nos: 15 | Erro: 434042080067584.0000000000000000000000000 |
(/(/(+(x1)(0.86071))(+(x1)(0.26121)))(/(-(x1)(x1))(/(0.50194)(x1)))) | Numero de nos: 15 | Erro: 434176364904448.0000000000000000000000000 |
(-(-(*(x1)(0.67110))(/(0.08066)(x1)))(*(-(x1)(x1))(+(0.47056)(x1)))) | Numero de nos: 15 | Erro: 434176734003200.0000000000000000000000000 |
(*(*(+(0.47951)(0.38261))(+(0.82009)(x1)))(+(-(0.90109)(0.94974))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434176700448768.0000000000000000000000000 |
(/(+(-(x1)(x1))(+(0.77712)(0.30076)))(-(*(x1)(x1))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(/(+(+(x1)(0.62780))(-(0.36760)(0.20218)))(+(+(0.46297)(x1))(+(0.20734)(0.07727)))) | Numero de nos: 15 | Erro: 434176364904448.0000000000000000000000000 |
(*(-(*(0.56999)(0.81799))(*(0.33076)(0.15305)))(/(-(x1)(0.95187))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 434176499122176.0000000000000000000000000 |
(*(+(-(x1)(0.22788))(+(0.26740)(0.14594)))(/(-(x1)(x1))(/(0.66942)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |

MELHOR: (*(/(/(x1)(*(0.05002)(0.13465)))(0.92093))(x1)) | Numero de nos: 9 | Erro: 365411858120704.0000000000000000000000000 |
MELHOR: (*(/(/(x1)(*(0.05002)(0.13465)))(0.12406))(x1)) | Numero de nos: 9 | Erro: 78746522484736.0000000000000000000000000 |
MELHOR: (*(/(/(x1)(*(0.05002)(0.13465)))(0.12406))(x1)) | Numero de nos: 9 | Erro: 78746522484736.0000000000000000000000000 |
MELHOR: (*(/(/(x1)(*(0.05002)(0.13465)))(0.12406))(x1)) | Numero de nos: 9 | Erro: 78746522484736.0000000000000000000000000 |
MELHOR: (*(/(/(x1)(*(0.05002)(0.13465)))(0.12406))(x1)) | Numero de nos: 9 | Erro: 78746522484736.0000000000000000000000000 |
MELHOR: (/(*(*(/(/(*(-(*(0.40147)(x1))(0.44041))(x1))(*(0.05002)(0.13465)))(/(0.05899)(x1)))(x1))(+(x1)(x1)))(*(*(x1)(x1))(+(0.56679)(x1)))) | Numero de nos: 29 | Erro: 43877633359872.0000000000000000000000000 |
MELHOR: (/(*(*(/(/(*(-(*(0.40147)(x1))(0.44041))(x1))(*(0.05002)(0.13465)))(/(0.05899)(x1)))(x1))(+(x1)(x1)))(*(*(x1)(x1))(+(0.56679)(x1)))) | Numero de nos: 29 | Erro: 43877633359872.0000000000000000000000000 |
MELHOR: (/(*(*(/(/(*(-(*(0.40147)(x1))(0.44041))(x1))(*(0.05002)(0.13465)))(/(0.05899)(x1)))(0.88156))(+(x1)(x1)))(*(*(x1)(x1))(/(0.13132)(0.14670)))) | Numero de nos: 29 | Erro: 41305174441984.0000000000000000000000000 |
MELHOR: (/(*(*(/(/(*(-(x1)(0.44041))(x1))(*(0.05002)(0.05676)))(/(0.05899)(x1)))(x1))(+(+(x1)(0.67296))(x1)))(*(*(x1)(x1))(/(x1)(0.14670)))) | Numero de nos: 29 | Erro: 35545619103744.0000000000000000000000000 |
MELHOR: (/(*(*(/(/(*(-(x1)(0.44041))(x1))(*(0.05002)(0.05676)))(/(0.05899)(x1)))(x1))(+(+(x1)(0.67296))(x1)))(*(*(x1)(x1))(/(x1)(0.14670)))) | Numero de nos: 29 | Erro: 35545619103744.0000000000000000000000000 |
MELHOR: (/(*(*(/(/(*(-(x1)(0.44041))(x1))(*(0.05002)(0.05676)))(/(0.05899)(x1)))(x1))(+(+(x1)(0.67296))(x1)))(*(*(x1)(x1))(/(x1)(0.14670)))) | Numero de nos: 29 | Erro: 35545619103744.0000000000000000000000000 |
MELHOR: (/(*(*(/(/(*(-(x1)(0.44041))(x1))(*(0.05002)(0.05676)))(/(0.05899)(x1)))(x1))(+(+(x1)(0.67296))(x1)))(*(*(x1)(x1))(/(x1)(0.14670)))) | Numero de nos: 29 | Erro: 35545619103744.0000000000000000000000000 |
MELHOR: (/(*(*(/(/(*(-(x1)(0.44041))(x1))(*(0.05002)(0.05676)))(/(0.05899)(x1)))(x1))(+(+(x1)(0.67296))(x1)))(*(*(x1)(x1))(/(x1)(0.14670)))) | Numero de nos: 29 | Erro: 35545619103744.0000000000000000000000000 |
MELHOR: (/(*(*(/(/(*(-(x1)(0.44041))(x1))(*(0.05002)(0.05676)))(/(0.05899)(x1)))(x1))(+(+(x1)(0.67296))(x1)))(*(*(x1)(x1))(/(x1)(0.14670)))) | Numero de nos: 29 | Erro: 35545619103744.0000000000000000000000000 |
MELHOR: (/(*(*(/(/(*(-(x1)(0.44041))(x1))(*(0.05002)(0.05676)))(/(0.05899)(x1)))(x1))(+(+(x1)(0.67296))(x1)))(*(*(x1)(x1))(/(x1)(0.14670)))) | Numero de nos: 29 | Erro: 35545619103744.0000000000000000000000000 |
