/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.30
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 10: 
MELHOR: (+(*(+(-(/(+(0.12717)(*(+(*(*(+(+(/(x1)(x1))(+(x1)(0.88565)))(0.23402))(x1))(x1))(x1))(x1)))(x1))(0.07746))(x1))(x1))(0.69512)) | Numero de nos: 29 | Erro: 279347331072.0000000000000000000000000 |
MELHOR: (+(*(+(-(/(+(0.12717)(*(+(*(*(+(+(/(x1)(x1))(+(x1)(0.88565)))(0.23402))(x1))(x1))(x1))(x1)))(x1))(0.07746))(x1))(x1))(0.69512)) | Numero de nos: 29 | Erro: 279347331072.0000000000000000000000000 |
MELHOR: (+(*(+(-(/(+(0.12717)(*(+(*(*(+(+(/(x1)(x1))(+(x1)(0.88565)))(0.23402))(x1))(x1))(x1))(x1)))(x1))(0.14212))(x1))(x1))(0.69512)) | Numero de nos: 29 | Erro: 279329832960.0000000000000000000000000 |
MELHOR: (+(*(+(-(/(+(0.12717)(*(+(*(*(+(+(/(0.17466)(0.40117))(+(x1)(0.88565)))(0.23402))(x1))(x1))(x1))(x1)))(x1))(0.07746))(x1))(x1))(0.69512)) | Numero de nos: 29 | Erro: 68490137600.0000000000000000000000000 |
MELHOR: (+(*(+(-(/(+(0.12717)(*(+(*(*(+(+(/(x1)(x1))(x1))(0.23402))(x1))(x1))(x1))(x1)))(x1))(0.07746))(x1))(x1))(0.69512)) | Numero de nos: 27 | Erro: 12157270016.0000000000000000000000000 |
MELHOR: (+(*(+(-(/(+(0.12717)(*(+(*(*(+(+(/(x1)(x1))(x1))(0.23402))(x1))(x1))(x1))(x1)))(x1))(0.07746))(x1))(x1))(0.69512)) | Numero de nos: 27 | Erro: 12157270016.0000000000000000000000000 |
MELHOR: (+(*(+(-(/(+(0.12717)(*(+(*(*(+(+(/(0.23402)(x1))(+(x1)(0.88565)))(0.23402))(x1))(x1))(x1))(x1)))(x1))(0.35679))(x1))(x1))(0.69512)) | Numero de nos: 29 | Erro: 3258820608.0000000000000000000000000 |
MELHOR: (+(*(+(-(/(+(0.12717)(*(+(*(*(+(+(/(0.23402)(x1))(+(x1)(0.79751)))(0.23402))(x1))(x1))(x1))(x1)))(x1))(0.35679))(x1))(x1))(0.69512)) | Numero de nos: 29 | Erro: 378115424.0000000000000000000000000 |
MELHOR: (+(*(+(-(/(+(0.12717)(*(+(*(*(+(+(/(0.23402)(x1))(+(x1)(0.79751)))(0.23402))(x1))(x1))(x1))(x1)))(x1))(0.35679))(x1))(x1))(0.69512)) | Numero de nos: 29 | Erro: 378115424.0000000000000000000000000 |
MELHOR: (+(*(+(-(/(+(0.12717)(*(+(*(*(+(+(/(0.23402)(x1))(+(x1)(0.79751)))(0.23402))(x1))(x1))(0.07746))(x1)))(x1))(0.35679))(x1))(x1))(0.69512)) | Numero de nos: 29 | Erro: 214502400.0000000000000000000000000 |
MELHOR: (+(*(+(-(/(+(0.12717)(*(+(*(*(+(0.98187)(x1))(x1))(x1))(0.20859))(x1)))(x1))(x1))(x1))(x1))(0.69512)) | Numero de nos: 23 | Erro: 190677024.0000000000000000000000000 |
MELHOR: (+(*(+(-(/(+(0.12717)(*(+(*(*(+(0.98187)(x1))(x1))(x1))(0.20859))(x1)))(x1))(x1))(x1))(x1))(0.69512)) | Numero de nos: 23 | Erro: 190677024.0000000000000000000000000 |
MELHOR: (+(*(+(-(/(+(x1)(*(+(*(+(+(+(/(x1)(x1))(x1))(0.23402))(*(x1)(x1)))(x1))(x1))(x1)))(x1))(0.35679))(0.85998))(x1))(x1)) | Numero de nos: 29 | Erro: 190008640.0000000000000000000000000 |
MELHOR: (+(*(+(-(/(+(x1)(*(+(*(+(+(+(/(x1)(x1))(x1))(0.23402))(*(x1)(x1)))(x1))(x1))(x1)))(x1))(0.35679))(0.85998))(x1))(x1)) | Numero de nos: 29 | Erro: 190008640.0000000000000000000000000 |
