/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.50
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 5: 
(+(+(-(0.93029)(x1))(*(x1)(x1)))(/(/(0.29917)(x1))(*(0.57323)(x1)))) | Numero de nos: 15 | Erro: 433729386315776.0000000000000000000000000 |
(*(+(-(x1)(0.19684))(+(0.10437)(0.95315)))(*(+(x1)(x1))(*(0.48912)(0.66784)))) | Numero de nos: 15 | Erro: 433885011771392.0000000000000000000000000 |
(/(/(/(0.10108)(x1))(-(0.54729)(0.02542)))(/(+(x1)(0.21705))(-(0.54595)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(+(*(-(0.61266)(0.38139))(/(x1)(x1)))(+(*(x1)(x1))(+(0.91327)(x1)))) | Numero de nos: 15 | Erro: 433730090958848.0000000000000000000000000 |

MELHOR: (*(/(*(x1)(x1))(*(*(-(+(-(x1)(/(0.19980)(-(x1)(-(x1)(0.45351)))))(0.83364))(0.59832))(0.77813))(0.21680)))(-(/(x1)(0.02536))(/(x1)(x1)))) | Numero de nos: 29 | Erro: 336618665803776.0000000000000000000000000 |
MELHOR: (*(/(*(x1)(x1))(*(*(-(+(-(x1)(/(0.19980)(-(x1)(-(x1)(0.45351)))))(0.83364))(0.59832))(0.77813))(0.21680)))(-(/(x1)(0.02536))(/(x1)(x1)))) | Numero de nos: 29 | Erro: 336618665803776.0000000000000000000000000 |
MELHOR: (*(/(*(x1)(x1))(*(*(-(+(-(x1)(/(0.19980)(-(x1)(-(x1)(0.45351)))))(0.83364))(0.59832))(0.77813))(0.21680)))(-(/(x1)(0.02536))(/(x1)(x1)))) | Numero de nos: 29 | Erro: 336618665803776.0000000000000000000000000 |
MELHOR: (*(+(0.36180)(+(*(*(*(+(-(+(-(x1)(+(x1)(/(x1)(x1))))(/(*(x1)(0.63149))(x1)))(0.08890))(x1))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 241410280259584.0000000000000000000000000 |
MELHOR: (*(+(0.36180)(+(*(*(*(+(-(+(-(x1)(+(x1)(/(x1)(x1))))(/(*(x1)(0.63149))(x1)))(0.08890))(x1))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 241410280259584.0000000000000000000000000 |
MELHOR: (*(+(0.36180)(+(*(*(*(+(-(+(-(x1)(+(x1)(/(x1)(x1))))(/(*(x1)(0.63149))(x1)))(0.08890))(x1))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 241410280259584.0000000000000000000000000 |
MELHOR: (*(+(0.36180)(+(*(*(*(+(-(+(-(x1)(+(x1)(/(x1)(x1))))(/(/(0.94653)(0.89105))(x1)))(0.08890))(x1))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 241219103883264.0000000000000000000000000 |
MELHOR: (*(+(0.36180)(+(*(*(*(+(-(+(-(x1)(+(x1)(/(x1)(x1))))(/(/(0.94653)(0.89105))(x1)))(0.08890))(x1))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 241219103883264.0000000000000000000000000 |
MELHOR: (*(+(0.36180)(+(*(*(*(+(-(+(-(x1)(-(0.83270)(+(x1)(x1))))(/(x1)(x1)))(0.08890))(*(x1)(0.95041)))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 223485820928.0000000000000000000000000 |
MELHOR: (*(+(0.36180)(+(*(*(*(+(-(+(-(x1)(-(0.83270)(+(x1)(x1))))(/(x1)(x1)))(0.08890))(*(x1)(0.95041)))(x1))(0.25404))(x1))(0.84317)))(x1)) | Numero de nos: 29 | Erro: 223485820928.0000000000000000000000000 |
