/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.30
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 11: 
MELHOR: (-(-(/(-(x1)(+(*(x1)(*(*(x1)(*(-(/(-(-(-(x1)(0.71999))(x1))(x1))(x1))(x1))(x1)))(x1)))(x1)))(x1))(0.07434))(0.57082)) | Numero de nos: 29 | Erro: 9891524.0000000000000000000000000 |
MELHOR: (-(-(/(-(x1)(+(*(x1)(*(*(x1)(*(-(/(-(-(-(x1)(0.71999))(x1))(x1))(x1))(x1))(x1)))(x1)))(x1)))(x1))(0.07434))(0.57082)) | Numero de nos: 29 | Erro: 9891524.0000000000000000000000000 |
MELHOR: (-(-(/(-(x1)(+(*(x1)(*(*(x1)(*(-(/(-(-(-(x1)(0.71999))(x1))(x1))(x1))(x1))(x1)))(x1)))(x1)))(x1))(0.07434))(0.57082)) | Numero de nos: 29 | Erro: 9891524.0000000000000000000000000 |
MELHOR: (-(-(/(-(x1)(+(*(x1)(*(*(x1)(*(-(/(-(-(-(x1)(0.71999))(x1))(x1))(x1))(x1))(x1)))(x1)))(0.71999)))(x1))(0.07434))(0.57082)) | Numero de nos: 29 | Erro: 9842468.0000000000000000000000000 |
MELHOR: (-(-(/(-(x1)(+(*(x1)(*(*(x1)(*(-(/(-(-(-(x1)(0.71999))(x1))(x1))(x1))(x1))(x1)))(x1)))(0.71999)))(x1))(0.07434))(0.57082)) | Numero de nos: 29 | Erro: 9842468.0000000000000000000000000 |
MELHOR: (-(-(/(-(x1)(+(*(x1)(*(*(x1)(*(-(/(-(-(-(x1)(0.71999))(x1))(x1))(x1))(x1))(x1)))(x1)))(0.71999)))(x1))(0.07434))(0.57082)) | Numero de nos: 29 | Erro: 9842468.0000000000000000000000000 |
MELHOR: (-(-(/(-(x1)(+(*(x1)(*(*(x1)(*(-(/(-(-(-(x1)(0.71999))(x1))(x1))(x1))(x1))(x1)))(x1)))(0.71999)))(x1))(0.07434))(0.57082)) | Numero de nos: 29 | Erro: 9842468.0000000000000000000000000 |
MELHOR: (-(-(/(-(x1)(+(*(x1)(*(*(x1)(*(-(/(-(-(-(x1)(0.71999))(x1))(x1))(x1))(x1))(x1)))(x1)))(0.57082)))(x1))(0.07434))(0.57082)) | Numero de nos: 29 | Erro: 9842458.0000000000000000000000000 |
MELHOR: (-(-(/(-(x1)(+(*(x1)(*(*(x1)(*(-(/(-(-(-(x1)(0.71999))(x1))(x1))(x1))(x1))(x1)))(x1)))(0.57082)))(x1))(0.07434))(0.57082)) | Numero de nos: 29 | Erro: 9842458.0000000000000000000000000 |
MELHOR: (-(-(/(-(x1)(+(*(x1)(*(*(x1)(*(-(/(-(-(-(x1)(0.71999))(x1))(x1))(x1))(x1))(x1)))(x1)))(0.07434)))(x1))(0.07434))(0.57082)) | Numero de nos: 29 | Erro: 9842416.0000000000000000000000000 |
MELHOR: (-(-(/(-(x1)(+(*(x1)(*(*(x1)(*(-(/(-(-(-(x1)(0.71999))(x1))(x1))(x1))(x1))(x1)))(x1)))(0.71999)))(x1))(0.07434))(0.43931)) | Numero de nos: 29 | Erro: 9839860.0000000000000000000000000 |
MELHOR: (-(-(/(-(x1)(+(*(x1)(*(*(x1)(*(-(/(-(-(-(x1)(0.71999))(x1))(x1))(x1))(x1))(x1)))(x1)))(0.71999)))(x1))(0.07434))(0.43931)) | Numero de nos: 29 | Erro: 9839860.0000000000000000000000000 |
MELHOR: (-(-(/(-(x1)(+(*(x1)(*(*(x1)(*(-(/(-(-(-(x1)(0.71999))(x1))(x1))(x1))(x1))(x1)))(x1)))(0.71999)))(x1))(0.07434))(0.43931)) | Numero de nos: 29 | Erro: 9839860.0000000000000000000000000 |
